Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1961","1961","t","13146","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1962","1962","t","19351","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1963","1963","t","11232","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1964","1964","t","19366","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1965","1965","t","26425","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1966","1966","t","15132","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1967","1967","t","26540","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1968","1968","t","9918","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1969","1969","t","16100","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1970","1970","t","21016","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1971","1971","t","14265","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1972","1972","t","19352","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1973","1973","t","17879","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1974","1974","t","15487","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1975","1975","t","22639","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1976","1976","t","29877","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1977","1977","t","24805","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1978","1978","t","36329","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1979","1979","t","23589","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1980","1980","t","19638","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1981","1981","t","28105","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1982","1982","t","29873","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1983","1983","t","29237","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1984","1984","t","26449","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1985","1985","t","42509","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1986","1986","t","30915","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1987","1987","t","36273","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1988","1988","t","41459","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1989","1989","t","33852","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1990","1990","t","39685","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1991","1991","t","47305","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1992","1992","t","55165","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1993","1993","t","54999","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1994","1994","t","62436","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1995","1995","t","63511","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1996","1996","t","48274","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1997","1997","t","70422","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1998","1998","t","68301","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","1999","1999","t","93103","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2000","2000","t","88467.48","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2001","2001","t","73032","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2002","2002","t","79986","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2003","2003","t","70499","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2004","2004","t","62536","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2005","2005","t","107670","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2006","2006","t","103998","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2007","2007","t","79861","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2008","2008","t","69228","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2009","2009","t","57969","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2010","2010","t","57317","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2011","2011","t","72356","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2012","2012","t","75135","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2013","2013","t","65180","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","02910","Natural honey","2014","2014","t","54500.29","A","Official figure",""
