Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1961","1961","1000 USD","3094","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1962","1962","1000 USD","4541","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1963","1963","1000 USD","3684","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1964","1964","1000 USD","5841","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1965","1965","1000 USD","5302","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1966","1966","1000 USD","3317","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1967","1967","1000 USD","5248","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1968","1968","1000 USD","2044","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1969","1969","1000 USD","3657","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1970","1970","1000 USD","5089","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1971","1971","1000 USD","3994","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1972","1972","1000 USD","8907","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1973","1973","1000 USD","11186","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1974","1974","1000 USD","12636","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1975","1975","1000 USD","16533","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1976","1976","1000 USD","20820","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1977","1977","1000 USD","19112","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1978","1978","1000 USD","29811","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1979","1979","1000 USD","21933","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1980","1980","1000 USD","19345","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1981","1981","1000 USD","26711","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1982","1982","1000 USD","26838","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1983","1983","1000 USD","25315","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1984","1984","1000 USD","20218","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1985","1985","1000 USD","26154","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1986","1986","1000 USD","23950","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1987","1987","1000 USD","27605","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1988","1988","1000 USD","28873","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1989","1989","1000 USD","23432","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1990","1990","1000 USD","30791","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1991","1991","1000 USD","42923","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1992","1992","1000 USD","51768","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1993","1993","1000 USD","50157","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1994","1994","1000 USD","53781","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1995","1995","1000 USD","70456","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1996","1996","1000 USD","81071","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1997","1997","1000 USD","108361","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1998","1998","1000 USD","88533","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","1999","1999","1000 USD","95729","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2000","2000","1000 USD","87203","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2001","2001","1000 USD","71508","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2002","2002","1000 USD","114170","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2003","2003","1000 USD","159894","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2004","2004","1000 USD","120537","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2005","2005","1000 USD","128503","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2006","2006","1000 USD","154141","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2007","2007","1000 USD","134153","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2008","2008","1000 USD","181311","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2009","2009","1000 USD","160291","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2010","2010","1000 USD","173426","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2011","2011","1000 USD","223448","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2012","2012","1000 USD","215147","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2013","2013","1000 USD","212637","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2014","2014","1000 USD","204438","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2015","2015","1000 USD","163829","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2016","2016","1000 USD","168868","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2017","2017","1000 USD","183165","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2018","2018","1000 USD","169748","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2019","2019","1000 USD","142086","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2020","2020","1000 USD","164086","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2021","2021","1000 USD","202721","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","02910","Natural honey","2022","2022","1000 USD","243239","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1961","1961","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1962","1962","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1963","1963","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1964","1964","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1965","1965","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1966","1966","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1967","1967","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1968","1968","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1969","1969","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1970","1970","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1971","1971","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1972","1972","1000 USD","162","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1973","1973","1000 USD","1791","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1974","1974","1000 USD","664","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1975","1975","1000 USD","1836","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1976","1976","1000 USD","556","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1977","1977","1000 USD","879","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1978","1978","1000 USD","2747","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1979","1979","1000 USD","1649","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1980","1980","1000 USD","981","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1981","1981","1000 USD","628","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1982","1982","1000 USD","169","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1983","1983","1000 USD","5","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1984","1984","1000 USD","22","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1985","1985","1000 USD","494","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1986","1986","1000 USD","1201","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1987","1987","1000 USD","320","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1988","1988","1000 USD","148","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1989","1989","1000 USD","215","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1990","1990","1000 USD","84","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1991","1991","1000 USD","63","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1992","1992","1000 USD","537","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1993","1993","1000 USD","188","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1994","1994","1000 USD","479","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1995","1995","1000 USD","21","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1996","1996","1000 USD","28","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1997","1997","1000 USD","106","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1998","1998","1000 USD","54","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","1999","1999","1000 USD","120","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2000","2000","1000 USD","331","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2001","2001","1000 USD","2809","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2002","2002","1000 USD","23141","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2003","2003","1000 USD","45545","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2004","2004","1000 USD","42303","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2005","2005","1000 USD","18940","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2006","2006","1000 USD","23359","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2007","2007","1000 USD","21194","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2008","2008","1000 USD","43571","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2009","2009","1000 USD","65791","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2010","2010","1000 USD","55021","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2011","2011","1000 USD","70869","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2012","2012","1000 USD","52348","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2013","2013","1000 USD","54124","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2014","2014","1000 USD","98576","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2015","2015","1000 USD","81720","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2016","2016","1000 USD","92030","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2017","2017","1000 USD","121298","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2018","2018","1000 USD","95420","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2019","2019","1000 USD","68384","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2020","2020","1000 USD","98560","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2021","2021","1000 USD","163341","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","02910","Natural honey","2022","2022","1000 USD","137901","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1961","1961","1000 USD","672","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1962","1962","1000 USD","663","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1963","1963","1000 USD","914","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1964","1964","1000 USD","1137","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1965","1965","1000 USD","1923","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1966","1966","1000 USD","2184","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1967","1967","1000 USD","982","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1968","1968","1000 USD","1704","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1969","1969","1000 USD","962","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1970","1970","1000 USD","1790","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1971","1971","1000 USD","4329","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1972","1972","1000 USD","3260","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1973","1973","1000 USD","6761","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1974","1974","1000 USD","3886","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1975","1975","1000 USD","4713","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1976","1976","1000 USD","4858","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1977","1977","1000 USD","8680","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1978","1978","1000 USD","7362","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1979","1979","1000 USD","9836","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1980","1980","1000 USD","13678","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1981","1981","1000 USD","10865","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1982","1982","1000 USD","12325","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1983","1983","1000 USD","11696","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1984","1984","1000 USD","19721","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1985","1985","1000 USD","16821","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1986","1986","1000 USD","13229","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export Value","02910","Natural honey","1987","1987","1000 USD","11615","A","Official figure",""
