Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Switzerland,Import,40900,Natural honey,1988, World,11757.9,6280020,Kg
Switzerland,Import,40900,Natural honey,1988,France,3326.95,830812,Kg
Switzerland,Import,40900,Natural honey,1988,Mexico,2652.17,2141380,Kg
Switzerland,Import,40900,Natural honey,1988,Germany,1484.39,600812,Kg
Switzerland,Import,40900,Natural honey,1988,Guatemala,762.76,677187,Kg
Switzerland,Import,40900,Natural honey,1988,China,459.37,351562,Kg
Switzerland,Import,40900,Natural honey,1988,Austria,386.67,61437,Kg
Switzerland,Import,40900,Natural honey,1988,New Zealand,308.02,123960,Kg
Switzerland,Import,40900,Natural honey,1988,Czechoslovakia,295.34,164140,Kg
Switzerland,Import,40900,Natural honey,1988,Italy,260.76,71777,Kg
Switzerland,Import,40900,Natural honey,1988,Cuba,197.36,145644,Kg
Switzerland,Import,40900,Natural honey,1988,Argentina,194.23,165980,Kg
Switzerland,Import,40900,Natural honey,1988,Chile,161.7,165300,Kg
Switzerland,Import,40900,Natural honey,1988,Canada,141.4,64644,Kg
Switzerland,Import,40900,Natural honey,1988,Australia,139.98,84312,Kg
Switzerland,Import,40900,Natural honey,1988,Romania,136.31,78250,Kg
Switzerland,Import,40900,Natural honey,1988,Uruguay,135.45,111328,Kg
Switzerland,Import,40900,Natural honey,1988,Spain,109.28,31046,Kg
Switzerland,Import,40900,Natural honey,1988,El Salvador,83.02,71351,Kg
Switzerland,Import,40900,Natural honey,1988,Brazil,76.19,37046,Kg
Switzerland,Import,40900,Natural honey,1988,Hungary,71.95,68863,Kg
Switzerland,Import,40900,Natural honey,1988,"Yugoslavia,FR(Serbia/Montenegr",62.85,17164,Kg
Switzerland,Import,40900,Natural honey,1988,Bulgaria,52.42,49039,Kg
Switzerland,Import,40900,Natural honey,1988,Dominican Republic,50.76,47472,Kg
Switzerland,Import,40900,Natural honey,1988,Poland,39.18,36078,Kg
Switzerland,Import,40900,Natural honey,1988,Soviet Union,38.03,34375,Kg
Switzerland,Import,40900,Natural honey,1988,Turkey,28.57,8625,Kg
Switzerland,Import,40900,Natural honey,1988,Israel,22.97,8625,Kg
Switzerland,Import,40900,Natural honey,1988,Honduras,17.07,12625,Kg
Switzerland,Import,40900,Natural honey,1988,United States,16.15,8437,Kg
Switzerland,Import,40900,Natural honey,1988,United Kingdom,14.33,2312,Kg
Switzerland,Import,40900,Natural honey,1988,Belgium-Luxembourg,13.66,4000,Kg
Switzerland,Import,40900,Natural honey,1988,Greece,10.04,1437,Kg
Switzerland,Import,40900,Natural honey,1988,Netherlands,5.08,2000,Kg
Switzerland,Import,40900,Natural honey,1988,Portugal,1.99,347,Kg
Switzerland,Import,40900,Natural honey,1988,South Africa,1.21,597,Kg
Switzerland,Import,40900,Natural honey,1988,Unspecified,0.32,61,Kg
Switzerland,Import,40900,Natural honey,1989, World,10332.79,6122350,Kg
Switzerland,Import,40900,Natural honey,1989,Mexico,3050.44,2638690,Kg
Switzerland,Import,40900,Natural honey,1989,France,2520.68,671250,Kg
Switzerland,Import,40900,Natural honey,1989,Germany,1168.09,586250,Kg
Switzerland,Import,40900,Natural honey,1989,Guatemala,392.86,318875,Kg
Switzerland,Import,40900,Natural honey,1989,Austria,358.27,56488,Kg
Switzerland,Import,40900,Natural honey,1989,Czechoslovakia,338.29,195394,Kg
Switzerland,Import,40900,Natural honey,1989,Australia,267.77,144960,Kg
Switzerland,Import,40900,Natural honey,1989,Uruguay,264.95,240566,Kg
Switzerland,Import,40900,Natural honey,1989,Italy,258.44,70503,Kg
Switzerland,Import,40900,Natural honey,1989,Romania,254.82,177636,Kg
Switzerland,Import,40900,Natural honey,1989,New Zealand,187.76,82511,Kg
Switzerland,Import,40900,Natural honey,1989,Argentina,140.29,159882,Kg
Switzerland,Import,40900,Natural honey,1989,China,137.67,110531,Kg
Switzerland,Import,40900,Natural honey,1989,"Yugoslavia,FR(Serbia/Montenegr",113.86,55441,Kg
Switzerland,Import,40900,Natural honey,1989,Spain,112.36,29320,Kg
Switzerland,Import,40900,Natural honey,1989,Chile,110.56,131445,Kg
Switzerland,Import,40900,Natural honey,1989,Hungary,97.9,76667,Kg
Switzerland,Import,40900,Natural honey,1989,Canada,97.4,41824,Kg
Switzerland,Import,40900,Natural honey,1989,Cuba,80.61,64480,Kg
Switzerland,Import,40900,Natural honey,1989,Dominican Republic,56.57,65894,Kg
Switzerland,Import,40900,Natural honey,1989,Brazil,44.43,29070,Kg
